	AveExpr	Coef	t	P.value	P.value.adj	Results
AT5G56870.1	6.15614	0.06706	0	0.95171559	0.99999982	0
AT5G57040.1	6.80468	-0.074504	0	0.94510097	0.99999982	0
AT5G57120.1	5.84117	0.701156	0.13487	0.5341098	0.99999982	0
AT5G57345.1	5.97289	-1.495626	-0.60155	0.38428362	0.99999982	0
AT5G57560.1	9.83948	-0.124748	0	0.97525413	0.99999982	0
AT5G57580.1	6.58182	0.649232	0.1127	0.48696917	0.99999982	0
AT5G57660.1	6.85713	-1.082565	-0.60364	0.31919243	0.99999982	0
AT5G57710.1	7.121	0.02746	0	0.98180602	0.99999982	0
AT5G57800.1	6.2853	-0.378705	0	0.70956088	0.99999982	0
AT5G57990.1	6.09396	0.982939	0.6342	0.28941092	0.99999982	0
AT5G58070.1	6.08733	-1.900153	-0.8787	0.26901159	0.99999982	0
AT5G58100.1	5.09163	3.155013	1.91637	0.05639282	0.847671437	0
AT5G58120.1	6.89453	2.238383	4.46204	0.00097322	0.082690192	0
AT5G58250.1	7.05722	-0.828231	-0.47688	0.33451266	0.99999982	0
AT5G58260.1	6.60733	0.254882	0	0.80207406	0.99999982	0
AT5G58330.1	5.48504	-0.68667	-0.03324	0.8312435	0.99999982	0
AT5G58420.1	6.57518	-0.214932	0	0.83364977	0.99999982	0
AT5G58430.1	6.57548	-0.355696	0	0.71908871	0.99999982	0
AT5G58470.1	6.39253	0.129698	0	0.90042117	0.99999982	0
AT5G58870.1	6.68015	0.187211	0	0.8610412	0.99999982	0
AT5G58950.1	6.37957	0.58386	0	0.5287401	0.99999982	0
AT5G59250.1	6.5865	0.987175	0.78034	0.23590343	0.99999982	0
AT5G59420.1	6.77258	0.027076	0	0.98312726	0.99999982	0
AT5G59540.1	6.12349	1.280898	1.06741	0.16794989	0.980546235	0
AT5G59910.1	6.34156	-0.081666	0	0.94607341	0.99999982	0
AT5G60360.3	4.99968	-2.310431	-0.51912	0.51261106	0.99999982	0
AT5G60390.1	7.73507	1.392072	0.68519	0.32101689	0.99999982	0
AT5G60600.1	7.85879	-0.422187	0	0.7008394	0.99999982	0
AT5G60680.1	6.43189	-1.162171	-0.53403	0.37517584	0.99999982	0
AT5G60790.1	6.46455	-0.192598	0	0.86567125	0.99999982	0
AT5G60920.1	7.43207	0.789159	0.64134	0.27041912	0.99999982	0
AT5G61170.1	6.63366	-0.231532	0	0.81851327	0.99999982	0
AT5G61210.1	6.78956	0.357132	0	0.72010475	0.99999982	0
AT5G61380.1	7.04456	0.291879	0	0.81678365	0.99999982	0
AT5G61410.1	7.06988	-0.486445	0	0.84920496	0.99999982	0
AT5G61590.1	7.25015	-1.368364	-1.41215	0.10071213	0.915267873	0
AT5G61600.1	7.4235	-0.310396	0	0.79539284	0.99999982	0
AT5G61780.1	5.99	1.182409	0.70453	0.28476172	0.99999982	0
AT5G61790.1	7.37874	0.337293	0	0.7415283	0.99999982	0
AT5G61820.1	7.01474	-0.308011	0	0.75720319	0.99999982	0
AT5G62190.1	6.95298	-2.0561	-1.24413	0.15095877	0.953749755	0
AT5G62350.1	7.02107	-1.039568	-0.81387	0.22855599	0.99999982	0
AT5G62390.1	7.76957	-0.425451	0	0.69753736	0.99999982	0
AT5G62670.1	6.44078	-0.018032	0	0.9860486	0.99999982	0
AT5G62690.1	6.91157	-0.053516	0	0.95936817	0.99999982	0
AT5G62700.1	6.69184	-0.280271	0	0.77991852	0.99999982	0
AT5G62720.1	6.49057	-1.508265	-0.88631	0.23908287	0.99999982	0
AT5G62790.2	6.65383	-2.111036	-1.25204	0.15053772	0.953749755	0
AT5G62810.1	6.5833	0.125696	0	0.90182984	0.99999982	0
AT5G63160.1	8.75684	-1.049066	-1.87387	0.04822168	0.818628167	0
AT5G63310.1	6.94919	-0.254503	0	0.80509857	0.99999982	0
AT5G63570.1	7.63588	0.016383	0	0.99129336	0.99999982	0
AT5G63800.1	6.30324	0.038592	0	0.97147036	0.99999982	0
AT5G63860.1	6.18216	-0.423227	0	0.71035757	0.99999982	0
AT5G64040.2	5.21902	0.050422	0	0.98115405	0.99999982	0
AT5G64050.1	5.42234	0.427919	0	0.76741889	0.99999982	0
AT5G64070.1	6.21482	0.823107	0.39726	0.37332426	0.99999982	0
AT5G64260.1	7.32132	0.171818	0	0.86701021	0.99999982	0
AT5G64270.1	6.63366	0.394781	0	0.68570223	0.99999982	0
AT5G64290.1	7.42403	0.629647	0.10324	0.47113208	0.99999982	0
AT5G64300.1	6.80699	0.143229	0	0.90828345	0.99999982	0
AT5G64310.1	7.05533	-0.940157	-0.74783	0.24342492	0.99999982	0
AT5G64350.1	6.92149	0.462957	0	0.62950126	0.99999982	0
AT5G64570.1	7.83076	0.939322	0.91441	0.19507806	0.99999982	0
AT5G64740.1	8.17513	0.860975	1.0367	0.16476282	0.971308408	0
AT5G64840.1	9.07076	-0.735373	-0.52949	0.30586716	0.99999982	0
AT5G64920.1	6.46455	-0.847172	-0.30708	0.44839113	0.99999982	0
AT5G64940.1	5.79518	-3.705153	-0.52435	0.5521614	0.99999982	0
AT5G65220.1	7.78334	-0.845539	-0.86235	0.20695407	0.99999982	0
AT5G65470.1	6.06934	0.129748	0	0.91248628	0.99999982	0
AT5G65480.1	6.21657	0.608989	0.04564	0.50820023	0.99999982	0
AT5G65620.1	7.62972	-0.191983	0	0.85670437	0.99999982	0
AT5G65630.1	7.84986	-0.442663	0	0.64522302	0.99999982	0
AT5G65660.1	6.7714	-1.49012	-0.71241	0.3175815	0.99999982	0
AT5G66190.1	6.61239	-0.220734	0	0.83673197	0.99999982	0
AT5G66200.1	6.60181	0.804465	0.59232	0.28727895	0.99999982	0
AT5G66530.1	6.56732	-0.423396	0	0.70424287	0.99999982	0
AT5G66570.1	12.94472	-0.254693	0	0.99762387	0.99999982	0
AT5G66730.1	6.26504	0.024225	0	0.98114876	0.99999982	0
AT5G66760.1	6.10148	0.877343	0.32029	0.45145995	0.99999982	0
AT5G66900.1	5.62782	0.720236	0.12945	0.57282522	0.99999982	0
AT5G66920.1	6.38997	0.630504	0.06891	0.52415416	0.99999982	0
AT5G67030.1	7.66186	1.588288	1.19957	0.14694244	0.953749755	0
AT5G67300.1	7.95871	-1.029681	-1.23795	0.12562442	0.947525884	0
AT5G67360.1	6.33765	-0.329457	0	0.74595069	0.99999982	0
AT5G67370.1	6.80874	-0.085051	0	0.93575053	0.99999982	0
AT5G67420.1	7.16	-0.040464	0	0.96887424	0.99999982	0
AT5G67480.2	5.81922	-1.464541	-0.28183	0.65700164	0.99999982	0
AT5G01010.1	6.57548	0.137801	0	0.89957218	0.99999982	0
AT5G01810.3	5.0671	0.195383	0	0.92436868	0.99999982	0
AT5G02870.2	6.87317	0.07431	0	0.95852747	0.99999982	0
AT5G03040.2	5.41186	0.03829	0	0.98437905	0.99999982	0
AT5G03040.3	5.26911	0.431212	0	0.83045805	0.99999982	0
AT5G03380.2	6.19075	0.472514	0	0.68782457	0.99999982	0
AT5G04140.1	11.4526	-0.291947	0	0.81530067	0.99999982	0
AT5G04430.1	5.90057	0.111509	0	0.9247941	0.99999982	0
AT5G05010.2	5.5067	0.216536	0	0.91489112	0.99999982	0
AT5G05690.3	5.33392	0.457186	0	0.78183127	0.99999982	0
AT5G05730.1	5.90583	0.551186	0	0.65287074	0.99999982	0
AT5G07440.2	6.91422	0.279905	0	0.78382014	0.99999982	0
AT5G09510.2	6.3662	-0.04547	0	0.96493019	0.99999982	0
AT5G09660.1	10.63572	0.179758	0	0.98296265	0.99999982	0
AT5G10450.1	6.44007	-0.069242	0	0.97451842	0.99999982	0
AT5G10450.2	5.94847	-0.571304	0	0.80173959	0.99999982	0
AT5G10470.1	6.07165	2.461548	1.84861	0.05820655	0.847671437	0
AT5G11700.1	6.70033	1.219165	0.70484	0.28926445	0.99999982	0
AT5G12370.3	6.67517	0.656499	0.17982	0.43753818	0.99999982	0
AT5G12860.2	6.19938	-1.916367	-0.27709	0.70232652	0.99999982	0
AT5G13000.2	5.95263	1.79828	1.48643	0.09619695	0.915267873	0
AT5G13120.2	6.10695	-0.652687	-0.03202	0.77455212	0.99999982	0
AT5G13450.2	5.22352	-2.306323	-0.67897	0.40066218	0.99999982	0
AT5G13630.2	5.76562	2.269149	0.42081	0.58987699	0.99999982	0
AT5G13650.1	7.81056	2.017098	1.37304	0.12080037	0.939512061	0
AT5G13710.2	6.09016	1.372479	0.92679	0.21448013	0.99999982	0
AT5G14200.2	5.32792	-0.556433	0	0.77954115	0.99999982	0
AT5G14260.2	7.26385	0.225651	0	0.87041731	0.99999982	0
AT5G16030.1	5.60338	-2.259001	-0.68884	0.39193433	0.99999982	0
AT5G16150.2	6.79268	-0.581169	0	0.53687193	0.99999982	0
AT5G16880.3	5.4426	-0.924339	-0.17578	0.66031263	0.99999982	0
AT5G17020.2	6.17781	-0.823621	-0.2235	0.52535167	0.99999982	0
AT5G17170.2	5.89919	0.470159	0	0.69341665	0.99999982	0
AT5G17230.1	5.66449	-3.495892	-0.53668	0.53901039	0.99999982	0
AT5G17230.2	6.47185	0.727675	0.14068	0.56089794	0.99999982	0
AT5G17710.1	6.93557	-0.042165	0	0.97528444	0.99999982	0
AT5G17920.2	8.80017	-0.708474	-0.13069	0.55298168	0.99999982	0
AT5G18230.1	6.20851	1.836231	1.40152	0.11136343	0.932681877	0
AT5G19400.3	5.77594	1.218224	0.6928	0.29488105	0.99999982	0
AT5G20250.2	9.75656	-0.208004	0	0.88367426	0.99999982	0
AT5G20720.2	7.96722	-0.114192	0	0.92742725	0.99999982	0
AT5G20950.2	6.0617	2.511425	2.18041	0.03348227	0.698592694	0
AT5G21430.2	6.07602	0.759917	0.1899	0.51743518	0.99999982	0
AT5G21920.2	6.63325	-0.317725	0	0.74990375	0.99999982	0
AT5G23210.4	5.13166	3.037933	1.86126	0.06117147	0.866244198	0
AT5G23450.1	6.5674	0.320504	0	0.75736913	0.99999982	0
AT5G23540.2	5.43824	-1.167924	-0.25834	0.63056321	0.99999982	0
AT5G24300.2	6.08157	-1.923446	-0.87021	0.27426772	0.99999982	0
AT5G24314.1	5.88566	0.919383	0.52431	0.3292563	0.99999982	0
AT5G25220.2	5.58203	-0.165021	0	0.92991705	0.99999982	0
AT5G25630.1	7.12778	0.143912	0	0.89076296	0.99999982	0
AT5G26030.2	5.88978	1.995986	1.65732	0.0749917	0.89484183	0
AT5G26570.2	7.57405	0.142428	0	0.90664515	0.99999982	0
AT5G26742.1	9.02073	0.070833	0	0.94539726	0.99999982	0
AT5G26742.3	4.88217	1.308892	0.31065	0.60133097	0.99999982	0
AT5G27640.1	6.53592	0.294563	0	0.77198233	0.99999982	0
AT5G28500.2	6.15319	1.129046	0.50754	0.38594043	0.99999982	0
AT5G35100.2	6.4824	-0.856079	-0.40713	0.37758748	0.99999982	0
AT5G35360.1	6.00416	-1.710574	-0.80401	0.29092193	0.99999982	0
AT5G35630.3	10.63347	0.96338	1.20026	0.13202281	0.950375271	0
AT5G36700.2	8.1286	1.655831	0.88327	0.25102386	0.99999982	0
AT5G38410.1	15.06164	-0.198664	0	0.9999908	0.99999982	0
AT5G38480.2	6.26299	-1.780864	-0.85221	0.27331577	0.99999982	0
AT5G38520.1	7.60717	-0.706414	-0.34839	0.37087484	0.99999982	0
AT5G38660.1	6.85246	-0.073905	0	0.94264722	0.99999982	0
AT5G40370.1	6.58707	0.736799	0.31758	0.3910752	0.99999982	0
AT5G40850.2	5.74693	0.056198	0	0.97050852	0.99999982	0
AT5G41520.2	6.38518	1.039979	0.54353	0.3438428	0.99999982	0
AT5G41700.1	5.57075	-0.354639	0	0.88504915	0.99999982	0
AT5G41740.1	6.33775	0.523586	0	0.57191581	0.99999982	0
AT5G41750.2	7.8269	-0.863353	-0.56708	0.30158808	0.99999982	0
AT5G42100.2	5.00411	1.905069	0.99664	0.22118261	0.99999982	0
AT5G42540.1	6.12173	1.168143	0.97889	0.18647935	0.998880713	0
AT5G43900.1	5.94577	1.453785	1.04141	0.18302931	0.997399338	0
AT5G43940.1	7.55276	0.440924	0	0.65774612	0.99999982	0
AT5G44290.4	5.48684	2.22197	1.29983	0.14174255	0.953749755	0
AT5G46110.1	10.72917	0.41184	0	0.7933488	0.99999982	0
AT5G46290.1	5.7893	-1.493836	-0.31246	0.62833621	0.99999982	0
AT5G47210.3	4.79161	-2.192664	-0.62678	0.42836277	0.99999982	0
AT5G47700.2	5.18653	-0.445819	0	0.85342615	0.99999982	0
AT5G49030.1	5.09394	-0.155477	0	0.94118141	0.99999982	0
AT5G49970.2	5.59341	0.91636	0.31019	0.48004236	0.99999982	0
AT5G51970.2	7.73006	-0.088592	0	0.93907189	0.99999982	0
AT5G53300.2	5.93916	1.200119	0.31021	0.57863616	0.99999982	0
AT5G53300.4	5.84194	0.369528	0	0.86210938	0.99999982	0
AT5G53460.2	7.19497	-1.129267	-0.47759	0.40731112	0.99999982	0
AT5G53490.2	5.76104	-1.459581	-0.30879	0.62758454	0.99999982	0
AT5G53850.1	6.24426	0.968478	0.47639	0.36715021	0.99999982	0
AT5G54940.2	7.62743	1.038707	1.23774	0.12574714	0.947525884	0
AT5G55850.1	6.51505	-0.28804	0	0.77428485	0.99999982	0
AT5G57290.3	5.56445	-3.353038	-1.34067	0.15339531	0.955239866	0
AT5G57350.2	6.79187	1.182551	0.61149	0.33186899	0.99999982	0
AT5G57870.2	6.92011	0.028422	0	0.97946207	0.99999982	0
AT5G57930.1	5.36863	3.055826	2.25729	0.03123554	0.681100548	0
AT5G58140.1	5.7531	0.65092	0.06408	0.60664523	0.99999982	0
AT5G58140.4	6.10502	1.026145	0.50447	0.3640739	0.99999982	0
AT5G58330.2	5.84355	-0.068864	0	0.97623386	0.99999982	0
AT5G58330.3	6.00713	1.140327	0.38188	0.49012695	0.99999982	0
AT5G59880.2	5.01684	0.640579	0.03121	0.74306372	0.99999982	0
AT5G60360.1	7.06805	2.747711	1.92402	0.05312218	0.84016177	0
AT5G60390.3	10.50483	0.097609	0	0.96286984	0.99999982	0
AT5G60600.2	6.75613	3.175028	2.5228	0.02022742	0.547696351	0
AT5G61010.2	5.85125	0.356107	0	0.7717956	0.99999982	0
AT5G61410.2	7.24824	-1.947512	-0.48627	0.51537052	0.99999982	0
AT5G62000.2	5.63861	0.69749	0.06104	0.7291471	0.99999982	0
AT5G62000.3	6.25376	2.561607	1.60451	0.08927931	0.915267873	0
AT5G62090.2	6.73848	0.184302	0	0.8622765	0.99999982	0
AT5G62300.2	5.51482	1.831781	0.86685	0.27006067	0.99999982	0
AT5G62890.4	6.24456	0.659668	0.13861	0.47074828	0.99999982	0
AT5G63370.4	5.98673	0.765318	0.20334	0.50430639	0.99999982	0
AT5G64040.1	10.01776	-0.862533	-1.27022	0.11920949	0.939512061	0
AT5G64130.1	6.43415	-0.02722	0	0.97888447	0.99999982	0
AT5G64400.1	6.95858	0.427287	0	0.661192	0.99999982	0
AT5G64940.2	5.79217	3.903261	2.51062	0.02202299	0.566125564	0
AT5G65010.1	7.17181	-0.646362	-0.12967	0.46521337	0.99999982	0
AT5G65430.1	4.85483	-1.700865	-0.49748	0.48425743	0.99999982	0
AT5G65430.2	5.9262	3.108405	2.27419	0.03052038	0.671448349	0
AT5G65670.2	6.84059	-0.849467	-0.45572	0.34883849	0.99999982	0
AT5G65720.2	6.29281	-0.029631	0	0.97719409	0.99999982	0
AT5G66190.2	10.38803	-0.263595	0	0.945007	0.99999982	0
AT5G66210.3	5.33176	-0.45788	0	0.81954592	0.99999982	0
AT5G67030.2	5.18524	-2.524781	-0.42809	0.59528552	0.99999982	0
AT5G67480.1	6.00186	2.30795	1.65913	0.07844393	0.89484183	0
AT4G00100.1	7.04956	0.807503	0.57564	0.29326972	0.99999982	0
AT4G00360.1	6.67608	0.152608	0	0.89793151	0.99999982	0
AT4G00370.1	5.61943	-0.499841	0	0.77665428	0.99999982	0
AT4G00720.1	6.33406	0.087469	0	0.93513324	0.99999982	0
AT4G00780.1	6.59914	-0.678322	-0.14727	0.48317712	0.99999982	0
AT4G00895.1	6.3394	-0.305781	0	0.77917852	0.99999982	0
AT4G01050.1	8.86892	0.020492	0	0.99116492	0.99999982	0
AT4G01150.1	10.19736	-0.013937	0	0.99971079	0.99999982	0
AT4G01310.1	8.56532	0.131943	0	0.94447349	0.99999982	0
AT4G01690.1	4.74298	-2.038502	-0.59196	0.44241953	0.99999982	0
AT4G01850.1	5.11923	-2.643789	-0.78563	0.35266266	0.99999982	0
AT4G01870.1	7.1271	-0.784882	-0.36567	0.37959269	0.99999982	0
AT4G01950.1	6.35732	0.103306	0	0.9200535	0.99999982	0
AT4G02230.1	6.34573	-0.328131	0	0.74612646	0.99999982	0
AT4G02330.1	7.09106	-0.093855	0	0.94064885	0.99999982	0
AT4G02380.1	7.05613	0.180748	0	0.85985462	0.99999982	0
AT4G02480.1	7.32608	0.705142	0.28754	0.39746511	0.99999982	0
AT4G02510.1	9.30743	-0.213105	0	0.88618494	0.99999982	0
AT4G02520.1	9.8327	1.1414	3.58646	0.0033233	0.169467087	0
AT4G02620.1	6.40813	0.100387	0	0.9216216	0.99999982	0
AT4G02770.1	11.30409	-0.810813	-1.84795	0.05013509	0.818628167	0
AT4G03030.1	6.44407	-0.069869	0	0.94665587	0.99999982	0
AT4G03060.1	4.70747	4.378072	2.98092	0.01047672	0.353625112	0
AT4G03080.1	6.13588	1.485526	1.4955	0.08995593	0.915267873	0
AT4G03200.1	5.96656	1.329451	1.01327	0.18484225	0.997399338	0
AT4G03280.1	10.88081	-0.318939	0	0.96929259	0.99999982	0
AT4G03400.1	6.39253	-0.087427	0	0.93405692	0.99999982	0
AT4G03520.1	8.51519	0.152766	0	0.93908208	0.99999982	0
AT4G04610.1	6.23042	0.834938	0.41714	0.36557252	0.99999982	0
AT4G04640.1	10.23869	-0.02183	0	0.99890409	0.99999982	0
AT4G04770.1	6.5674	-0.026758	0	0.98020815	0.99999982	0
AT4G05050.1	5.70063	-0.408174	0	0.87385292	0.99999982	0
AT4G05070.1	6.65455	-0.338206	0	0.73282122	0.99999982	0
AT4G05180.1	10.12053	-0.807988	-0.98844	0.17547719	0.997399338	0
AT4G06477.1	6.54333	-2.310939	-0.96404	0.25250336	0.99999982	0
AT4G08350.1	6.11459	0.217855	0	0.83922004	0.99999982	0
AT4G08470.1	5.97776	1.19449	0.95231	0.19534066	0.99999982	0
AT4G08850.1	6.45633	0.95797	0.36106	0.4495705	0.99999982	0
AT4G08920.1	7.34557	-0.346355	0	0.74272304	0.99999982	0
AT4G08950.1	9.65417	-0.152208	0	0.96672596	0.99999982	0
AT4G09010.1	7.61346	0.729679	0.50146	0.31534046	0.99999982	0
AT4G09320.1	6.26482	0.782567	0.28665	0.43122997	0.99999982	0
AT4G09650.1	9.82709	-0.299234	0	0.92147069	0.99999982	0
AT4G09800.1	5.5869	0.511031	0	0.71637719	0.99999982	0
AT4G10080.1	6.60573	0.381436	0	0.69696764	0.99999982	0
AT4G10120.1	7.4491	0.577891	0	0.51430334	0.99999982	0
AT4G10300.1	6.33581	-0.056764	0	0.95804015	0.99999982	0
AT4G10320.1	6.8914	-0.132259	0	0.90686987	0.99999982	0
AT4G10340.1	12.43605	-0.904649	-2.86093	0.01011616	0.346197375	0
AT4G10480.1	5.66302	-2.521021	-0.60603	0.45944285	0.99999982	0
AT4G10920.1	6.59566	-1.555223	-0.99337	0.20345508	0.99999982	0
AT4G11010.1	6.51856	0.089265	0	0.9306304	0.99999982	0
AT4G11150.1	7.76778	0.457678	0	0.66374716	0.99999982	0
AT4G11260.1	6.081	1.014268	0.66877	0.27900327	0.99999982	0
AT4G11280.1	5.84373	-1.270066	-0.41962	0.48641003	0.99999982	0
AT4G11420.1	7.38886	0.148657	0	0.90585503	0.99999982	0
AT4G12290.1	6.07348	-0.658559	-0.07718	0.58365256	0.99999982	0
AT4G12420.1	7.46498	0.933183	1.26685	0.11995505	0.939512061	0
AT4G12650.1	6.39448	1.356372	1.41505	0.10008774	0.915267873	0
AT4G12720.4	5.09394	-0.093472	0	0.96461893	0.99999982	0
AT4G12800.1	11.69641	-0.902219	-2.29865	0.02464401	0.589542138	0
AT4G13250.1	6.65006	-0.244602	0	0.81287553	0.99999982	0
AT4G13340.1	10.52221	-0.409086	0	0.86516981	0.99999982	0
AT4G13430.1	7.99312	0.623827	0.13543	0.44908432	0.99999982	0
AT4G13505.1	4.71623	-2.071242	-0.62101	0.42460032	0.99999982	0
AT4G13510.1	6.78483	3.179997	2.50401	0.0208828	0.559295841	0
AT4G13550.1	5.89198	1.127604	0.79278	0.24276819	0.99999982	0
AT4G13670.1	6.44407	-0.653249	-0.07811	0.56624213	0.99999982	0
AT4G13770.1	7.83082	0.266827	0	0.82237008	0.99999982	0
AT4G13930.1	5.57526	2.003303	1.16609	0.17021397	0.982299885	0
AT4G13940.1	9.50775	0.559508	0	0.53907519	0.99999982	0
AT4G14365.1	6.1756	1.869755	1.61475	0.07886447	0.89549331	0
AT4G14500.1	6.35812	0.242789	0	0.81184908	0.99999982	0
AT4G14880.1	6.79079	-1.058302	-0.32602	0.5208146	0.99999982	0
AT4G14960.2	6.44173	-0.316927	0	0.90030846	0.99999982	0
AT4G15110.1	5.72091	1.167418	0.66565	0.30115956	0.99999982	0
AT4G15180.1	5.7489	-2.404897	-0.97762	0.25056167	0.99999982	0
AT4G15470.1	6.58299	0.462803	0	0.62728257	0.99999982	0
AT4G15545.1	7.79255	-1.232725	-1.70471	0.06316064	0.874313546	0
AT4G15560.1	8.83622	0.527067	0	0.59685768	0.99999982	0
AT4G16143.1	6.52257	0.556016	0	0.5423908	0.99999982	0
AT4G16190.1	8.30658	0.40536	0	0.71946383	0.99999982	0
AT4G16370.1	7.75072	1.068516	1.67472	0.06566999	0.887167612	0
AT4G16520.1	6.51548	0.217852	0	0.83327764	0.99999982	0
AT4G16563.1	6.21657	-0.465226	0	0.69118047	0.99999982	0
AT4G16660.1	6.29281	0.89057	0.59459	0.29390331	0.99999982	0
AT4G16690.1	5.7833	1.587006	1.07144	0.18072082	0.997399338	0
AT4G16720.1	7.38975	-0.001202	0	0.99926841	0.99999982	0
AT4G16860.1	5.54333	2.606906	1.89514	0.0548236	0.847103772	0
AT4G16890.1	6.41274	3.198212	3.38518	0.00502553	0.209879647	0
AT4G16920.1	7.17859	0.935087	0.8022	0.22622235	0.99999982	0
AT4G16950.1	6.57152	-0.168937	0	0.86879221	0.99999982	0
AT4G16980.1	8.44455	-0.990125	-1.16824	0.13835459	0.950375271	0
AT4G17040.1	6.80699	-0.018104	0	0.9880531	0.99999982	0
AT4G17090.1	9.12025	-0.396076	0	0.7365531	0.99999982	0
AT4G17230.1	6.99272	0.570234	0	0.53515421	0.99999982	0
AT4G17330.1	7.34661	-0.022127	0	0.98745889	0.99999982	0
AT4G17390.1	7.41922	0.417277	0	0.68579305	0.99999982	0
AT4G17520.1	7.29543	-0.183337	0	0.87148273	0.99999982	0
AT4G17560.1	7.72017	0.0198	0	0.98668494	0.99999982	0
AT4G17600.1	6.71424	-0.83488	-0.42908	0.35912351	0.99999982	0
AT4G17840.1	5.86975	0.096989	0	0.94715592	0.99999982	0
AT4G18010.1	6.54146	-0.866455	-0.09815	0.77501895	0.99999982	0
AT4G18030.1	5.97289	0.504103	0	0.62164897	0.99999982	0
AT4G18100.1	6.9344	0.187848	0	0.85632878	0.99999982	0
AT4G18240.1	6.91422	0.344782	0	0.72699115	0.99999982	0
AT4G18440.1	5.64	-0.89065	-0.17689	0.64041995	0.99999982	0
AT4G18480.1	7.95877	-0.836312	-0.6791	0.26001782	0.99999982	0
AT4G18730.1	6.23816	-0.625411	-0.05075	0.56327798	0.99999982	0
AT4G19200.1	7.17146	1.213679	1.70604	0.06295997	0.874313546	0
AT4G19210.1	6.09572	0.039164	0	0.97261232	0.99999982	0
AT4G19520.1	7.67119	0.076531	0	0.97256916	0.99999982	0
AT4G19530.1	7.66126	0.454262	0	0.63773884	0.99999982	0
AT4G19640.1	6.20967	0.867431	0.48298	0.33913815	0.99999982	0
AT4G19860.1	6.42782	1.018659	0.90192	0.20104992	0.99999982	0
AT4G20150.1	6.03332	-0.623771	-0.03091	0.66940729	0.99999982	0
AT4G20360.1	10.92932	-0.263298	0	0.98921662	0.99999982	0
AT4G20850.1	7.70645	0.021286	0	0.98794294	0.99999982	0
AT4G20890.1	6.46963	0.438208	0	0.65079826	0.99999982	0
AT4G21105.1	6.00642	0.07454	0	0.95672607	0.99999982	0
AT4G21210.1	5.55264	-3.343234	-0.57467	0.50826848	0.99999982	0
AT4G21710.1	6.02114	0.670053	0.12332	0.5048426	0.99999982	0
AT4G21960.1	10.20763	0.093652	0	0.99640704	0.99999982	0
AT4G21990.1	5.51358	0.221207	0	0.91564728	0.99999982	0
AT4G22150.1	7.45069	-0.524375	0	0.60144964	0.99999982	0
AT4G22240.1	7.77354	0.124561	0	0.94545981	0.99999982	0
AT4G22330.1	5.68825	-0.496186	0	0.76011082	0.99999982	0
AT4G22670.1	6.80109	0.596598	0.02513	0.50675487	0.99999982	0
AT4G22690.1	7.43477	0.14855	0	0.90313483	0.99999982	0
AT4G22710.1	4.76707	4.548135	3.58087	0.00409712	0.186949909	0
AT4G22890.1	5.19002	-0.220241	0	0.92059714	0.99999982	0
AT4G23100.1	7.76179	0.14514	0	0.92150491	0.99999982	0
AT4G23170.1	5.49142	2.057683	1.52113	0.09503037	0.915267873	0
AT4G23180.1	7.27733	-0.118533	0	0.92092265	0.99999982	0
AT4G23400.1	6.4504	-0.192424	0	0.85079984	0.99999982	0
AT4G23470.1	6.5415	0.915161	0.36141	0.43222094	0.99999982	0
AT4G23630.1	6.60573	-1.043474	-0.57559	0.32690422	0.99999982	0
AT4G23650.1	6.77891	1.049182	1.16336	0.14001777	0.953749755	0
AT4G23670.1	7.97942	-0.209596	0	0.87856229	0.99999982	0
AT4G23850.1	8.04311	0.797002	0.54927	0.30196159	0.99999982	0
AT4G23890.1	6.95888	-0.699812	-0.22058	0.43420605	0.99999982	0
AT4G24020.1	6.48466	0.806332	0.41138	0.36120537	0.99999982	0
AT4G24160.1	6.29748	0.291944	0	0.77103633	0.99999982	0
AT4G24280.1	8.97888	-0.11089	0	0.9685391	0.99999982	0
AT4G24520.1	6.77374	0.121259	0	0.90780538	0.99999982	0
AT4G24570.1	7.442	-0.196512	0	0.87901193	0.99999982	0
AT4G24690.1	7.54035	1.066531	1.00255	0.17628181	0.997399338	0
AT4G24770.1	9.983	-0.408319	0	0.81412423	0.99999982	0
AT4G24800.1	5.95817	1.613165	1.46806	0.09593773	0.915267873	0
AT4G24930.1	5.84117	-0.873703	-0.21437	0.57227091	0.99999982	0
AT4G25030.1	6.26482	0.301747	0	0.76204285	0.99999982	0
AT4G25080.3	4.82275	1.480429	0.45335	0.49346415	0.99999982	0
AT4G25130.1	8.13828	-0.438507	0	0.68475101	0.99999982	0
AT4G25370.1	5.85125	0.367559	0	0.74072147	0.99999982	0
AT4G25570.1	7.04308	-0.436108	0	0.65491805	0.99999982	0
AT4G25620.1	6.52498	-0.328823	0	0.75344572	0.99999982	0
AT4G25700.1	5.80932	-0.526003	0	0.79463644	0.99999982	0
AT4G26110.1	6.46047	-0.191082	0	0.85191716	0.99999982	0
AT4G26230.1	6.8037	-0.197927	0	0.84665253	0.99999982	0
AT4G26530.1	7.64161	1.047755	0.38062	0.46385072	0.99999982	0
AT4G26630.1	7.85619	0.189323	0	0.90529579	0.99999982	0
AT4G26690.1	8.24265	-1.181357	-1.51678	0.08403804	0.912201485	0
AT4G26700.1	6.2222	-0.580833	0	0.64883138	0.99999982	0
AT4G26850.1	7.47862	0.434777	0	0.68588238	0.99999982	0
AT4G26970.1	6.92806	0.505796	0	0.5907167	0.99999982	0
