	AveExpr	Coef	t	P.value	P.value.adj	Results
AT5G08690.1	8.19567	-0.230107	0	0.8737668	0.99999982	0
AT5G08760.1	6.23705	0.382918	0	0.69541263	0.99999982	0
AT5G08790.1	6.6298	-0.448344	0	0.64361176	0.99999982	0
AT5G09600.1	5.59962	0.281513	0	0.8401611	0.99999982	0
AT5G09650.1	7.66167	0.266505	0	0.83726084	0.99999982	0
AT5G09810.1	7.54545	-0.437182	0	0.65257404	0.99999982	0
AT5G09870.1	7.09991	0.191456	0	0.85789821	0.99999982	0
AT5G09880.1	6.14221	-0.330076	0	0.76929034	0.99999982	0
AT5G10180.1	6.55509	1.807312	2.36388	0.02297588	0.566125564	0
AT5G10360.1	6.73234	-1.381676	-0.69475	0.31461826	0.99999982	0
AT5G10380.1	6.55908	1.089424	1.01894	0.17295171	0.990902487	0
AT5G10540.1	6.22274	-0.161386	0	0.88721154	0.99999982	0
AT5G10550.1	6.253	-1.292467	-0.46062	0.45591966	0.99999982	0
AT5G10760.1	6.36564	0.97253	0.8486	0.21422045	0.99999982	0
AT5G10860.1	7.13164	-0.567566	0	0.54676946	0.99999982	0
AT5G11000.1	6.18624	0.507966	0	0.61939095	0.99999982	0
AT5G11070.1	6.64451	-0.257141	0	0.79962195	0.99999982	0
AT5G11450.1	6.73899	-0.367902	0	0.71222086	0.99999982	0
AT5G11480.1	6.56273	-0.976126	-0.58793	0.30891694	0.99999982	0
AT5G11500.1	5.79802	-0.771536	-0.09251	0.72393029	0.99999982	0
AT5G11560.1	6.49057	1.552838	1.78412	0.05732304	0.847671437	0
AT5G11670.1	7.48933	0.718469	0.28858	0.40080551	0.99999982	0
AT5G11740.1	9.21905	-1.481171	-3.85847	0.00223221	0.134150251	0
AT5G11770.1	7.64798	0.013371	0	0.9908931	0.99999982	0
AT5G12150.1	7.24383	0.127765	0	0.93767614	0.99999982	0
AT5G12250.1	6.47854	0.259311	0	0.79928617	0.99999982	0
AT5G12470.1	7.01633	-0.104143	0	0.92683498	0.99999982	0
AT5G12860.1	7.93922	1.455593	0.72874	0.30528561	0.99999982	0
AT5G12890.1	5.82958	1.220094	0.88084	0.21933384	0.99999982	0
AT5G12950.1	5.99676	0.533674	0	0.66016484	0.99999982	0
AT5G13030.1	6.75217	0.338344	0	0.73226159	0.99999982	0
AT5G13190.1	6.39807	0.193038	0	0.85366812	0.99999982	0
AT5G13440.1	6.41752	-0.162118	0	0.87387174	0.99999982	0
AT5G13510.1	7.99045	0.013147	0	0.99157739	0.99999982	0
AT5G13630.1	10.80816	0.127568	0	0.91603987	0.99999982	0
AT5G13650.2	8.40766	0.393624	0	0.70830724	0.99999982	0
AT5G13770.1	6.65181	-0.205203	0	0.83949215	0.99999982	0
AT5G14040.1	7.40265	0.556794	0	0.53912257	0.99999982	0
AT5G14060.1	6.64314	-0.246209	0	0.80697487	0.99999982	0
AT5G14120.1	8.91108	0.930991	1.43185	0.09438178	0.915267873	0
AT5G14320.1	8.32161	-0.466397	0	0.6773022	0.99999982	0
AT5G14740.1	11.9409	0.115801	0	0.99706671	0.99999982	0
AT5G14780.1	8.26433	-0.193262	0	0.91988602	0.99999982	0
AT5G14910.1	7.11576	-0.14078	0	0.89441287	0.99999982	0
AT5G14920.1	6.51676	-1.314938	-0.66552	0.32180721	0.99999982	0
AT5G14970.1	6.47432	-0.537844	0	0.59280049	0.99999982	0
AT5G15090.1	6.44407	-1.168354	-0.3179	0.56229988	0.99999982	0
AT5G15200.1	8.04477	-0.086342	0	0.96242592	0.99999982	0
AT5G15350.1	7.42467	0.633514	0.1203	0.46144508	0.99999982	0
AT5G15410.1	5.85758	1.932081	1.5433	0.08965564	0.915267873	0
AT5G15450.1	6.82057	-0.824522	-0.45213	0.34523095	0.99999982	0
